app,service,condition,packet_lengths,iat_values,directions,rtt_ms,jitter_ms,loss_rate,total packets,total fwd packets,total backward packets,packet length mean,packet length std,flow iat mean,flow iat std,flow duration,flow bytes/s,flow packets/s,protocol
mawi_background,unknown,good,89.00,0.0000,-1,0.0,0.0,0.0,1,0,1,89.0,0.0,0.0,0.0,0.0,89000.0,1000.0,17
mawi_background,unknown,good,58.00,0.0000,-1,0.0,0.0,0.0,1,0,1,58.0,0.0,0.0,0.0,0.0,58000.0,1000.0,6
mawi_background,unknown,good,150.00,0.0000,1,0.0,0.0,0.0,1,1,0,150.0,0.0,0.0,0.0,0.0,150000.0,1000.0,17
mawi_background,unknown,good,1091.00,0.0000,-1,0.0,0.0,0.0,1,0,1,1091.0,0.0,0.0,0.0,0.0,1091000.0,1000.0,17
mawi_background,unknown,good,66.00,0.0000,1,0.0,0.0,0.0,1,1,0,66.0,0.0,0.0,0.0,0.0,66000.0,1000.0,6
mawi_background,unknown,moderate,78.00;66.00;74.00;82.00;66.00;70.00,0.0000;255.8908;5.9190;256.0072;256.5238;0.2511,1;1;1;1;1;1,129.09865379333496,127.05682199941604,0.0,6,6,0,72.66666666666667,5.962847939999372,129.09865379333496,127.05682199941604,774.5919227600098,562.8770287798172,7.746014157520421,6
mawi_background,unknown,good,58.00,0.0000,1,0.0,0.0,0.0,1,1,0,58.0,0.0,0.0,0.0,0.0,58000.0,1000.0,6
mawi_background,unknown,good,54.00,0.0000,1,0.0,0.0,0.0,1,1,0,54.0,0.0,0.0,0.0,0.0,54000.0,1000.0,6
mawi_background,unknown,good,54.00,0.0000,1,0.0,0.0,0.0,1,1,0,54.0,0.0,0.0,0.0,0.0,54000.0,1000.0,6
mawi_background,unknown,good,58.00,0.0000,-1,0.0,0.0,0.0,1,0,1,58.0,0.0,0.0,0.0,0.0,58000.0,1000.0,6
mawi_background,unknown,good,58.00,0.0000,-1,0.0,0.0,0.0,1,0,1,58.0,0.0,0.0,0.0,0.0,58000.0,1000.0,6
mawi_background,unknown,good,78.00;74.00;66.00;269.00;66.00;1514.00;1688.00;66.00;66.00;147.00;111.00;66.00;117.00;66.00;290.00;66.00;852.00;66.00;66.00;66.00;66.00,0.0000;0.7730;12.0041;12.7001;0.6800;2.1269;0.0069;14.7140;0.1540;0.0222;0.0319;0.7920;0.0439;10.1581;1.7209;41.1510;17.6301;9.5730;73.4520;1.0600;10.0539,1;-1;1;1;-1;-1;-1;1;1;1;1;-1;-1;1;1;-1;-1;1;1;-1;1,9.945142836797803,17.113802160770714,0.0,21,12,9,279.3333333333333,462.52056153350617,9.945142836797803,17.113802160770714,208.8479995727539,28087.412912741504,100.5515975396474,6
mawi_background,unknown,good,58.00,0.0000,-1,0.0,0.0,0.0,1,0,1,58.0,0.0,0.0,0.0,0.0,58000.0,1000.0,6
mawi_background,unknown,good,66.00,0.0000,1,0.0,0.0,0.0,1,1,0,66.0,0.0,0.0,0.0,0.0,66000.0,1000.0,6
mawi_background,unknown,good,58.00,0.0000,-1,0.0,0.0,0.0,1,0,1,58.0,0.0,0.0,0.0,0.0,58000.0,1000.0,6
mawi_background,unknown,good,66.00,0.0000,-1,0.0,0.0,0.0,1,0,1,66.0,0.0,0.0,0.0,0.0,66000.0,1000.0,6
mawi_background,unknown,good,66.00,0.0000,-1,0.0,0.0,0.0,1,0,1,66.0,0.0,0.0,0.0,0.0,66000.0,1000.0,6
mawi_background,unknown,good,74.00,0.0000,1,0.0,0.0,0.0,1,1,0,74.0,0.0,0.0,0.0,0.0,74000.0,1000.0,6
mawi_background,unknown,good,66.00,0.0000,-1,0.0,0.0,0.0,1,0,1,66.0,0.0,0.0,0.0,0.0,66000.0,1000.0,6
mawi_background,unknown,good,54.00,0.0000,1,0.0,0.0,0.0,1,1,0,54.0,0.0,0.0,0.0,0.0,54000.0,1000.0,6
